DATA,LAHTI,PORVO,MUSTI,FLOW
8/7/2001,5.1,3.8,4.2,3.31
8/8/2001,0,0.5,0.4,3.05
8/9/2001,0,0,0.1,2.26
8/10/2001,2.7,16.5,5.6,2.26
8/11/2001,1.4,1,1.6,3.31
8/12/2001,0.7,4.1,1.4,3.05
8/13/2001,5.7,0.2,3.3,2.26
8/14/2001,0,0,0,2.78
8/15/2001,0,0.1,0,3.83
8/16/2001,0,0,0,3.83
8/17/2001,0,0,0,3.83
8/18/2001,0,0,0,3.05
8/19/2001,0,0,0,2.26
8/20/2001,0,0,0,2.26
8/21/2001,0,0.06,0,2.26
8/22/2001,0.06,1.3,0,2.26
8/23/2001,0,0,0,2.26
8/24/2001,0,0,0,2.26
8/25/2001,0,0,0,2.26
8/26/2001,0,0,0,2.26
8/27/2001,0,0.6,0.06,2.26
8/28/2001,0,5.4,0.6,2.26
8/29/2001,0,0,0,2.26
8/30/2001,0,0,0,2.26
8/31/2001,0.06,5.4,3.7,1.22
9/1/2001,0.1,0,0.4,1.22
9/2/2001,0.06,0.6,0.06,1.22
9/3/2001,5.9,7.2,1.5,1.22
9/4/2001,6.5,4,5.5,1.22
9/5/2001,4.6,3.6,12.1,1.22
9/6/2001,0.9,0.2,0,2.26
9/7/2001,0.3,0.7,1.6,2.26
9/8/2001,8.3,15.7,16.6,2.26
9/9/2001,9.4,24,25.8,2.78
9/10/2001,27.2,9.6,14.3,6.45
9/11/2001,0.06,0.2,0.06,17.95
9/12/2001,1.3,2.4,2.1,17.95
9/13/2001,2.3,1,2.8,17.95
9/14/2001,5.2,3.6,21.2,14.82
9/15/2001,4.9,5.6,3.7,14.03
9/16/2001,0,0,0,11.68
9/17/2001,0,0,0,12.2
9/18/2001,0,0,0,12.72
9/19/2001,0,0,0,11.42
9/20/2001,0,0,0,10.37
9/21/2001,0,0,0,9.32
9/22/2001,0.3,0,0,9.06
9/23/2001,0.7,1.4,0.9,8.8
9/24/2001,0,0,0,7.75
9/25/2001,0,0,0,6.45
9/26/2001,1.1,0.6,0.9,6.45
9/27/2001,0.4,0.1,0,5.4
9/28/2001,3.5,1,6,4.88
9/29/2001,0.2,0,0,4.88
9/30/2001,0.06,0,0.2,4.62
10/1/2001,7.8,16.1,9.1,3.83
10/2/2001,0,2.7,0.2,5.14
10/3/2001,0.2,0.6,1.2,4.88
10/4/2001,0,0.1,0,4.88
10/5/2001,0.3,0,0,4.88
10/6/2001,0.2,0,0,4.88
10/7/2001,0.06,0.4,0.3,4.88
10/8/2001,0.9,1,1.2,4.88
10/9/2001,0.6,0.8,1.1,4.88
10/10/2001,5.1,9.3,16.5,4.88
10/11/2001,1.2,0.8,6.1,4.88
10/12/2001,2.4,2.5,2.1,7.49
10/13/2001,0.5,0.5,0.7,7.49
10/14/2001,0,0.3,0.1,7.49
10/15/2001,0,0.1,0.1,8.8
10/16/2001,2.5,0.2,1.9,7.75
10/17/2001,0.1,0.6,0.2,7.49
10/18/2001,0,0.2,0,7.49
10/19/2001,0,0,0,7.23
10/20/2001,0,0,0,6.45
10/21/2001,0.2,0.6,0.4,6.45
10/22/2001,0.06,0.3,0,5.66
10/23/2001,0,0,0,4.88
10/24/2001,0,0,0.1,4.88
10/25/2001,0.06,0,0,4.88
10/26/2001,0,0,0,3.83
10/27/2001,1,4.2,4.3,3.83
10/28/2001,2.2,0.8,0.2,3.83
10/29/2001,0.3,0.6,1.3,3.83
10/30/2001,9.4,13.8,8.8,3.83
